新中西里26号,"116.438341,39.934061"
长辛店杜家坎集美家居1层,"116.211257,39.844875"
长阳镇篱笆园南路10号院10号楼1层,"116.184314,39.767370"
小营西路16号毛纺城市场1层,"116.336093,40.036429"
古城南里甲5号1栋,"116.191720,39.906873"
平翔路9号A18幢鑫海韵通大卖场1层,"117.123509,40.154168"
西坝河东里18号三元大厦1层,"116.447204,39.963620"
新城商厦1层,"116.565771,39.799006"
温泉路与白家疃东路交叉口,"116.188972,40.042069"
复兴路12号2层(军事博物馆对面),"116.324433,39.907043"
安定门外大街183-7号,"116.407708,39.953082"
府学路29号阳光商厦(燕平路)F1层,"116.243373,40.221260"
旧宫地铁站旁北京住总万科广场2层,"116.459701,39.805801"
沙河镇巩华城大街67号,"116.268943,40.129192"
丰葆路88号永旺梦乐城1-2层,"116.292310,39.817527"
华清嘉园7号楼,"116.333588,39.992452"
兴丰大街62号,"116.340038,39.732121"
双营西路78号院1号楼1层,"116.291062,40.207332"
四惠公交枢纽2层,"116.496071,39.907227"
[],"116.462342,39.993152"
新南路60号,"116.858917,40.371931"
宣武门西大街18国华商场1层,"116.364118,39.898926"
[],"116.597148,39.911266"
九棵树西路48号阳光新生活广场F1层,"116.656523,39.889783"
府前街14号,"116.631905,40.315439"
海户西里甲2号,"116.388092,39.856617"
西单北大街130号华威商场B1层,"116.374266,39.911525"
府前街31号,"117.112246,40.140735"
海淀南路甲2号东润商厦,"116.317169,39.975606"
回龙观永旺(国际商城店)永旺三楼停车场北进出口,"116.289002,40.098269"
云岗路180号物美大卖场1层,"116.163973,39.810202"
方庄南路2号,"116.439182,39.857869"
朝阳北路常营丽景园1号配套商业6号楼,"116.613299,39.924302"
劲松二区208号院4-2,"116.455840,39.884865"
窦店镇大窦路万科幸福汇257号院甲1号,"116.068616,39.654928"
崇文门外大街3-5号新世界百货崇文店综合馆F1层,"116.418110,39.897816"
王府井大街138号新东安1号楼APM2层,"116.411580,39.914692"
卧龙环岛西南角MOMA商区一层,"116.639109,40.136614"
复兴路29-33号翠微百货翠微店A座1F层,"116.303663,39.908023"
田村路43号京粮广场一期二段1层,"116.253777,39.930064"
东四北大街乙528号,"116.417709,39.924790"
